ID,assists,bonus,bps,CS,creativity,Gc,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,xG,expected_assists,expected_goal_involvements,xGc,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,added,chance_of_playing_next_round,chance_of_playing_this_round,code,event_points,form,news,news_added,news_return,news_updated,squad_number,total_points,web_name,position,team,name
58,2,4,181,4,137.3,7,1,39.5,219.4,821,0,0,0,0,0,38.0,3,10,0.19,0.52,0.70,10.65,28,36,22,86,2025-07-20T23:14:21.005214Z,100.0,100.0,226944,11,4.8,,2025-08-23T22:30:05.846310Z,,,,38,Kamara,MID,Aston Villa,Boubacar Kamara
59,0,1,116,3,35.6,4,1,21.2,152.2,500,0,0,0,0,0,25.0,2,6,0.26,0.12,0.38,7.21,33,20,16,69,2025-07-20T23:14:21.008067Z,100.0,100.0,449871,1,2.8,,2025-11-20T12:00:09.766248Z,,,,25,Onana,MID,Aston Villa,Amadou Onana
60,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.010840Z,,,577731,0,0.0,,,,,,0,Broggio,MID,Aston Villa,Ben Broggio
61,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.013575Z,0.0,0.0,151589,0,0.0,Has joined Real Oviedo permanently.,2025-08-20T13:31:56.822248Z,,,,0,Dendoncker,MID,Aston Villa,Leander Dendoncker
62,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.016288Z,,,559962,0,0.0,,,,,,0,Jimoh-Aloba,MID,Aston Villa,Jamaldeen Jimoh-Aloba
63,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.018984Z,,,537403,0,0.0,,,,,,0,Young,MID,Aston Villa,Kadan Young
64,0,2,85,5,115.5,9,1,44.1,74.8,969,0,0,0,0,0,251.0,0,11,2.79,0.37,3.16,14.45,7,20,6,33,2025-07-20T23:14:21.021642Z,100.0,100.0,178301,1,1.8,,2025-10-13T11:00:08.391124Z,,,,30,Watkins,FWD,Aston Villa,Ollie Watkins
65,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.024274Z,0.0,0.0,576756,0,0.0,has joined Huddersfield Town on loan for the rest of the season.,2025-09-02T13:26:36.441136Z,,,,0,Redmond,FWD,Aston Villa,Zépiqueno Redmond
66,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.026938Z,0.0,0.0,69752,0,0.0,Has joined Botafogo permanently.,2025-08-11T01:25:12.553868Z,,,,0,Neto,GK,Bournemouth,Norberto Murara Neto
67,0,1,168,4,0.0,23,0,30.2,301.2,1170,0,0,0,0,38,0.0,1,13,0.00,0.00,0.00,16.98,23,98,0,0,2025-07-20T23:14:21.029540Z,,,457569,2,1.5,,,,,,43,Petrović,GK,Bournemouth,Đorđe Petrović
68,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.032234Z,,,444172,0,0.0,,,,,,0,Dennis,GK,Bournemouth,Will Dennis
69,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.034895Z,,,568791,0,0.0,,,,,,0,McKenna,GK,Bournemouth,Callan McKenna
70,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.045433Z,0.0,0.0,495145,0,0.0,Has joined Lechia Gdansk on loan for the rest of the season.,2025-08-27T12:50:21.648936Z,,,,0,Paulsen,GK,Bournemouth,Alex Paulsen
